Facility_Name,Reg_No,Address,Facility_Type,Level,Bed_Capacity,County,status,View
NGOINA ROAD DISPENSARY,GK-xxx,P.O BOX 254-20210 KERICHO,DISPENSARY,LEVEL 2,0,KERICHO,Active,
MWEROMUTUA DISPENSARY,GK-xxx,P.O BOX 34-60601 LAARE,DISPENSARY,LEVEL 2,0,MERU,Active,
NYAMOGO HEALTH CENTRE,GK-xxx,P.O BOX 340-40302 NDHIWA,BASIC HEALTH CENTRE,LEVEL 3B,0,HOMA BAY,Active,
GOTICHAKI DISPENSARY,GK-xxx,P.O BOX 27-40206 NYARAMAMBE,DISPENSARY,LEVEL 2,0,KISII,Active,
KIBIGORI DISPENSARY,GK-xxx,P.O BOX 71-40107 MUHORONI,DISPENSARY,LEVEL 2,0,KISUMU,Active,
RIWO DISPENSARY,GK-xxx,P.O BOX 193-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
WASEGES DISPENSARY,GK-xxx,P.O BOX 21-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
KITENGELA PONA SERVICES,002xxx,P.O BOX 78780-00507 NAIROBI,NURSING HOME,LEVEL 3A,45,KAJIADO,Active,
KANYARIRI MEDICAL CENTRE,014xxx,P.O BOX 27-60200 MERU,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
UWEZO HEALTHCARE LTD,016xxx,P.O BOX 52176-00200 NAIROBI,NURSING HOME,LEVEL 3A,16,NAIROBI,Active,
HURLINGHAM FAMILY HEALTH CLINIC LIMITED,017xxx,P.O BOX 19460-00202 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
LEGACY DENTAL CLINIC LIMITED,021xxx,P.O BOX 37705-00100 NAIROBI,DENTAL CLINIC,LEVEL 2,0,KIAMBU,Active,
RWANANGE DISPENSARY,GK-xxx,P.O BOX 8-60200 MERU,DISPENSARY,LEVEL 2,0,MERU,Active,
KIMOLOI DISPENSARY,GK-xxx,P.O BOX 22-30128 KIMWARER,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KAPTIEN DISPENSARY,GK-xxx,P.O BOX 32-30301 NANDI HILLS,DISPENSARY,LEVEL 2,0,NANDI,Active,
NTHUNGU DISPENSARY,GK-xxx,P.O BOX 1631-60200 MERU,DISPENSARY,LEVEL 2,0,MERU,Active,
NAITIRI SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 200-50211 NAITIRI,HOSPITAL LEVEL 4,LEVEL 4,30,BUNGOMA,Active,
KAPKATET SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 95-20214 KAPKATET,HOSPITAL LEVEL 4,LEVEL 4,30,KERICHO,Active,
RONDININ DISPENSARY,GK-xxx,P.O BOX 120-30401 KABARTONJO,DISPENSARY,LEVEL 2,0,BARINGO,Active,
KASOIYO DISPENSARY,GK-xxx,P.O BOX 66-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
CHUOWE DISPENSARY,GK-xxx,P.O BOX 81-40301 KENDU BAY,DISPENSARY,LEVEL 2,0,HOMA BAY,Active,
TUIYOBEI DISPENSARY,GK-xxx,P.O BOX 21-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
NDUMARI DISPENSARY,GK-xxx,P.O BOX 193-60103 RUNYENJES,DISPENSARY,LEVEL 2,0,EMBU,Active,
SIMBIRI NAN BELL COMMUNITY HEALTH CENTRE,000xxx,P.O BOX 26-40332 KOSELE,HEALTH CENTRE,LEVEL 3A,34,HOMA BAY,Active,
MERIDIAN MEDICAL CENTRE WESTLANDS MALL,001xxx,P.O BOX 50443-00200 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
CENTER MEDICAL CLINIC,001xxx,P.O BOX 18412-20100 NAKURU,MEDICAL CLINIC,LEVEL 2,0,NAKURU,Active,
MERIDIAN MEDICAL CENTRE MACHAKOS,002xxx,P.O BOX 50443-00200 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,MACHAKOS,Active,
E.L.C.K. MATONGO HEALTH CENTRE,003xxx,P.O BOX 58-40109 SONDU,FAITH-BASED BASIC CENTRE,LEVEL 3B,18,NYAMIRA,Active,
DUBOIS MEDICAL CLINIC,003xxx,P.O BOX 100009-00300 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
MITUNGUU HOSPITAL,003xxx,P.O BOX 238-60204 MITUNGUU,HOSPITAL LEVEL 4,LEVEL 4,78,MERU,Active,
NELION DOCTORS PLAZA,005xxx,P.O BOX 3258-10140 NYERI,MEDICAL CLINIC,LEVEL 2,0,NYERI,Active,
MIGORI HEALTH STATION,006xxx,P.O BOX 16-40400 MIGORI,MEDICAL CLINIC,LEVEL 2,0,MIGORI,Active,
ST. BONIFACE CATHOLIC HEALTH CENTRE,007xxx,P.O BOX 994-50305 KAPSABET,FAITH-BASED COMPREHENSIVE CENTRE,LEVEL 3B,20,NANDI,Active,
AWALE  1 MEDICAL CENTRE,009xxx,P.O BOX 18397-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
AWALE 11 MEDICAL CENTRE,009xxx,P.O BOX 97-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
FOREST JAPAN MEDICAL CENTRE,013xxx,P.O BOX 23260-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
OCHUKAR MEDICAL CENTRE,014xxx,P.O BOX 16111-00610 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
HUDUMA BORA KUTUS MEDICAL CENTRE,014xxx,P.O BOX 87-10304 KUTUS,DENTAL CLINIC,LEVEL 2,0,KIRINYAGA,Active,
SALA HEALTHCARE SERVICE LIMITED,014xxx,P.O BOX 153-70300 MANDERA,NURSING HOME,LEVEL 3A,30,MANDERA,Active,
EYMOLE MEDICARE AND NURSING HOME LIMITED,014xxx,P.O BOX 21- TAKABA,NURSING HOME,LEVEL 3A,30,MANDERA,Active,
BURBURIS MEDICAL CENTRE,014xxx,P.O BOX 1197-70100 GARISSA,NURSING HOME,LEVEL 3A,20,GARISSA,Active,
BULLA DADACHA  MEDICAL CLINICS LIMITED,014xxx,P.O BOX 31-70301 ELWAK,NURSING HOME,LEVEL 3A,30,MANDERA,Active,
BULSHAWI NURSING HOME LIMITED,014xxx,P.O BOX 70300- MANDERA,NURSING HOME,LEVEL 3A,30,MANDERA,Active,
MERCY MEDICAL CENTRE,015xxx,P.O BOX 7878-00200 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
ARROWS CARE MEDICAL CENTER,016xxx,P.O BOX 17-40333 NYANDIWA,NURSING HOME,LEVEL 3A,49,HOMA BAY,Active,
AL-HAMDU HEALTHCARE LTD,016xxx,P.O BOX 442-70300 MANDERA,NURSING HOME,LEVEL 3A,16,MANDERA,Active,
SOMAAL NURSING HOME LIMITED,016xxx,P.O BOX 318-70200 WAJIR,NURSING HOME,LEVEL 3A,20,WAJIR,Active,
MAAWI MEDICAL CENTRE,017xxx,P.O BOX 385-70300 MANDERA,NURSING HOME,LEVEL 3A,20,MANDERA,Active,
OLLA NURSING HOME,017xxx,P.O BOX 318-70100 MANDERA,NURSING HOME,LEVEL 3A,25,MANDERA,Active,
LIFEWAY HOUSE MEDICAL CENTRE,018xxx,P.O BOX 31093-00600 NAIROBI,NURSING HOME,LEVEL 3A,25,KIAMBU,Active,
SHIFA MATERNAL AND CHILD CARE LIMITED,018xxx,P.O BOX 658-70100 GARISSA,NURSING HOME,LEVEL 3A,30,GARISSA,Active,
ALMO NURSING HOME LIMITED,019xxx,P.O BOX 318-70200 WAJIR,NURSING HOME,LEVEL 3A,20,WAJIR,Active,
BIN INSAN NURSING HOME LIMITED,019xxx,P.O BOX 25425-00100 NAIROBI,NURSING HOME,LEVEL 3A,25,WAJIR,Active,
AIC KAJIADO HEALTH CENTRE,021xxx,P.O BOX 416-01100 KAJIADO,BASIC HEALTH CENTRE,LEVEL 3B,24,KAJIADO,Active,
DENTISTRY NOW CLINIC,021xxx,P.O BOX 14-10103 MUKURWEINI,DENTAL CLINIC,LEVEL 2,0,KIAMBU,Active,
JEFF & JERRY MEDICAL CLINIC MACHANG\'A,023xxx,P.O BOX 804-60100 EMBU,MEDICAL CLINIC,LEVEL 2,0,EMBU,Active,
A.P. EMBAKASI,GK-xxx,P.O BOX --- -,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
NYAMBENE SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 482-60601 MAUA,HOSPITAL LEVEL 4,LEVEL 4,76,MERU,Active,
MKWIRO ISLAND DISPENSARY,GK-xxx,P.O BOX 82-80402 LUNGA LUNGA,DISPENSARY,LEVEL 2,0,KWALE,Active,
SAGALLA HEALTH CENTRE,GK-xxx,P.O BOX 91-80300 VOI,HEALTH CENTRE,LEVEL 3A,11,TAITA TAVETA,Active,
KAIA DISPENSARY,GK-xxx,P.O BOX 223- KAIA MARKET,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KWA KAVISI DISPENSARY,GK-xxx,P.O BOX 23-90302 KATHONZWENI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
YANDUE DISPENSARY,GK-xxx,P.O BOX 95-90300 MAKUENI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KITENGEI DISPENSARY,GK-xxx,P.O BOX 234- -,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
MALABOT DISPENSARY,GK-xxx,P.O BOX 5-60500 MALABOT,DISPENSARY,LEVEL 2,0,MARSABIT,Active,
ILLERET HEALTH CENTRE,GK-xxx,P.O BOX 5-60500 ILLERET,HEALTH CENTRE,LEVEL 3A,0,MARSABIT,Active,
NAROMORU LEVEL 4 HOSPITAL,GK-xxx,P.O BOX 11-10105 NAROMORU,HOSPITAL LEVEL 4,LEVEL 4,175,NYERI,Active,
BADASA DISPENSARY,GK-xxx,P.O BOX 5-60500 BODASA/MARSABIT,DISPENSARY,LEVEL 2,0,MARSABIT,Active,
DAKABARICHA DISPENSARY,GK-xxx,P.O BOX 5-60500 MARSABIT,DISPENSARY,LEVEL 2,0,MARSABIT,Active,
BURGABO DISPENSARY,GK-xxx,P.O BOX 5-60500 BURGABO,DISPENSARY,LEVEL 2,0,MARSABIT,Active,
KIRWARA SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 69-10200 MURANGA,HEALTH CENTRE,LEVEL 3A,30,MURANG'A,Active,
MBOROGA HEALTH CENTRE,GK-xxx,P.O BOX 2805-60200 MERU,HEALTH CENTRE,LEVEL 3A,6,MERU,Active,
IVUTINI DISPENSARY,GK-xxx,P.O BOX 19-90100 MACHAKOS,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
KATUMANI DISPENSARY,GK-xxx,P.O BOX 340-90100 MACHAKOS,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
MUA DISPENSARY,GK-xxx,P.O BOX 421-90100 MUA,DISPENSARY,LEVEL 2,6,MACHAKOS,Active,
KATULYE DISPENSARY-MAKUENI,GK-xxx,P.O BOX 8-90137 KATULYE,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
NDULUKU DISPENSARY,GK-xxx,P.O BOX 51-90127 MBUMBUNI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KANGALU DISPENSARY,GK-xxx,P.O BOX 523-90200 KITUI,DISPENSARY,LEVEL 2,0,KITUI,Active,
YINTHUNGU DISPENSARY,GK-xxx,P.O BOX 5-40600 MARIMANTI,DISPENSARY,LEVEL 2,6,MAKUENI,Active,
MAAU-ELI DISPENSARY,GK-xxx,P.O BOX 58- AMALO,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KINYAU DISPENSARY,GK-xxx,P.O BOX 4-90126 KALAWA,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
MUTILUNI DISPENSARY,GK-xxx,P.O BOX 11-20500 NAROK,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KAPTABUK DISPENSARY,GK-xxx,P.O BOX 245-30705 KAPSOWAR,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KIBIGOS DISPENSARY,GK-xxx,P.O BOX 39-30204 KAPCHEROP,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KAMWOSOR HEALTH CENTRE,GK-xxx,P.O BOX 16-30129 CHEPKORIO,HEALTH CENTRE,LEVEL 3A,30,ELGEYO/ MARAKWET,Active,
KAPLOBOTWO DISPENSARY,GK-xxx,P.O BOX 3-30706 CHEBIEMIT,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KAPARON HEALTH CENTRE,GK-xxx,P.O BOX 382-30702 TOT,MEDICAL CLINIC,LEVEL 2,6,ELGEYO/ MARAKWET,Active,
IBACHO SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 90-40202 KEROKA,HEALTH CENTRE,LEVEL 3A,25,KISII,Active,
MISESI HEALTH CENTRE,GK-xxx,P.O BOX 6-40204 OGEMBO,HEALTH CENTRE,LEVEL 3A,20,KISII,Active,
KERAGIA DISPENSARY,GK-xxx,P.O BOX 6-40204 OGEMBO,DISPENSARY,LEVEL 2,0,KISII,Active,
FRIENDS KIAMOKAMA DISPENSARY,GK-xxx,P.O BOX 415-40200 KISII,DISPENSARY,LEVEL 2,0,KISII,Active,
NYAMASEGE DISPENSARY,GK-xxx,P.O BOX 6-40204 OGEMBO,HEALTH CENTRE,LEVEL 3A,6,KISII,Active,
MOOGI DISPENSARY,GK-xxx,P.O BOX 6-40204 OGEMBO,DISPENSARY,LEVEL 2,0,KISII,Active,
NYAMAGESA DISPENSARY,GK-xxx,P.O BOX 168-40201 GESUSU,DISPENSARY,LEVEL 2,0,KISII,Active,
EGETUKI GOK DISPENSARY,GK-xxx,P.O BOX 6-40204 OGEMBO,DISPENSARY,LEVEL 2,0,KISII,Active,
MOTICHO HEALTH CENTRE,GK-xxx,P.O BOX 27-40206 NYAMARAMBE,HEALTH CENTRE,LEVEL 3A,11,KISII,Active,
IRANDA SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 92-40200 KISII,HOSPITAL LEVEL 4,LEVEL 4,25,KISII,Active,
NDURU SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 27-40206 NYAMARAMBE,HOSPITAL LEVEL 4,LEVEL 4,29,KISII,Active,
KISII TEACHING AND REFERRAL HOSPITAL,GK-xxx,P.O BOX 92-40200 KISII,Hospital Level 5,LEVEL 5,300,KISII,Active,
EGETONTO DISPENSARY,GK-xxx,P.O BOX 6-40204 OGEMBO,DISPENSARY,LEVEL 2,0,KISII,Active,
MATUU SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 94-90119 MATUU,HOSPITAL LEVEL 4,LEVEL 4,30,MACHAKOS,Active,
KATULANI HEALTH CENTRE,GK-xxx,P.O BOX 28-90135 IKALAASA,HEALTH CENTRE,LEVEL 3A,6,MACHAKOS,Active,
BAR ACHUTH DISPENSARY,GK-xxx,P.O BOX 247-40607 UKWALA,DISPENSARY,LEVEL 2,0,SIAYA,Active,
KONYA COMMUNITY DISPENSARY,GK-xxx,P.O BOX 247-40607 UKWALA,DISPENSARY,LEVEL 2,0,SIAYA,Active,
LUTSANGANI DISPENSARY,GK-xxx,P.O BOX 84-80405 KINANGO,DISPENSARY,LEVEL 2,0,KWALE,Active,
KATHANJURI DISPENSARY,GK-xxx,P.O BOX 37-60103 RUNYENJES,DISPENSARY,LEVEL 2,0,EMBU,Active,
KANDURI DISPENSARY,GK-xxx,P.O BOX 193-60103 RUNYENJES,DISPENSARY,LEVEL 2,0,EMBU,Active,
AKAIGA DISPENSARY,GK-xxx,P.O BOX 8-60200 MERU,DISPENSARY,LEVEL 2,0,MERU,Active,
KAPSIIYA DISPENSARY,GK-xxx,P.O BOX 74-20205 SOSIOT,DISPENSARY,LEVEL 2,0,KERICHO,Active,
KAMAWOI DISPENSARY,GK-xxx,P.O BOX 1819-20200 KERICHO,DISPENSARY,LEVEL 2,0,KERICHO,Active,
KOISAGAT DISPENSARY,GK-xxx,P.O BOX 54-20203 LONDIANI,DISPENSARY,LEVEL 2,0,KERICHO,Active,
LELU DISPENSARY,GK-xxx,P.O BOX 44-20202 KIPKELION,DISPENSARY,LEVEL 2,0,KERICHO,Active,
LELECHWET DISPENSARY- KERICHO,GK-xxx,P.O BOX 28-20202 KIPKELION,DISPENSARY,LEVEL 2,0,KERICHO,Active,
MANYOROR DISPENSARY,GK-xxx,P.O BOX 352-20200 KERICHO,HEALTH CENTRE,LEVEL 3A,6,KERICHO,Active,
KASHEEN DISPENSARY,GK-xxx,P.O BOX 30-20202 KIPKELION,DISPENSARY,LEVEL 2,0,KERICHO,Active,
MILO HEALTH CENTRE,GK-xxx,P.O BOX 1559-50205 WEBUYE,HEALTH CENTRE,LEVEL 3A,20,BUNGOMA,Active,
CHEPKOIYO DISPENSARY - KERICHO,GK-xxx,P.O BOX 87-20200 KERICHO,DISPENSARY,LEVEL 2,0,KERICHO,Active,
KOLENYO DISPENSARY,GK-xxx,P.O BOX 60-40102 KOMBEWA,DISPENSARY,LEVEL 2,0,KISUMU,Active,
KIPSOGON DISPENSARY,GK-xxx,P.O BOX 18-20105 MOGOTIO,DISPENSARY,LEVEL 2,0,BARINGO,Active,
KAMBIRI HEALTH CENTRE,GK-xxx,P.O BOX 5-50116 KAMBIRI,HEALTH CENTRE,LEVEL 3A,6,KAKAMEGA,Active,
RATTA HEALTH CENTRE,GK-xxx,P.O BOX 61-40102 KOMBEWA,BASIC HEALTH CENTRE,LEVEL 3B,6,KISUMU,Active,
MUGURIN DISPENSARY,GK-xxx,P.O BOX 135-20105 MOGOTIO,HEALTH CENTRE,LEVEL 3A,6,BARINGO,Active,
MOCHONGOI HEALTH CENTRE,GK-xxx,P.O BOX 71-30403 MARIGAT,HEALTH CENTRE,LEVEL 3A,6,BARINGO,Active,
KASAKA DISPENSARY,GK-xxx,P.O BOX 6-30401 KABARTONJO,DISPENSARY,LEVEL 2,0,BARINGO,Active,
CHEPLAMBOS DISPENSARY,GK-xxx,P.O BOX 61-14352 TENGES,DISPENSARY,LEVEL 2,0,BARINGO,Active,
KOIMUGUL DISPENSARY,GK-xxx,P.O BOX 21-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
KORIEMA DISPENSARY,GK-xxx,P.O BOX 181-30403 MARIGAT,DISPENSARY,LEVEL 2,0,BARINGO,Active,
OBUYA DISPENSARY,GK-xxx,P.O BOX 54-40311 NYANGWESO,DISPENSARY,LEVEL 2,0,HOMA BAY,Active,
KENDU SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 47-40301 KENDU BAY,HOSPITAL LEVEL 4,LEVEL 4,100,HOMA BAY,Active,
KIGWA DISPENSARY,GK-xxx,P.O BOX 40-40307 MAGUNGA,DISPENSARY,LEVEL 2,0,HOMA BAY,Active,
LELA DISPENSARY - HOMABAY,GK-xxx,P.O BOX 47-40301 KENDU BAY,DISPENSARY,LEVEL 2,0,HOMA BAY,Active,
OMBOGA DISPENSARY,GK-xxx,P.O BOX 47-40301 KENDU BAY,DISPENSARY,LEVEL 2,0,HOMA BAY,Active,
MUSEMBE DISPENSARY - KIPKARREN,GK-xxx,P.O BOX 240-50241 KIPKARREN RIVER,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
NAGIS DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
TURKWEL HEALTH CENTRE,GK-xxx,P.O BOX 01-30500 LODWAR,HEALTH CENTRE,LEVEL 3A,6,TURKANA,Active,
KALOBEYEI DISPENSARY,GK-xxx,P.O BOX 1-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAKITOEKAKUMON DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KAPTAMA HEALTH CENTRE,GK-xxx,P.O BOX 49-50200 BUNGOMA,BASIC HEALTH CENTRE,LEVEL 3B,27,BUNGOMA,Active,
MANG\'ANA DISPENSARY,GK-xxx,P.O BOX 14- BUNGOMA,DISPENSARY,LEVEL 2,5,BUNGOMA,Active,
OBAMBO DISPENSARY,GK-xxx,P.O BOX 144-40600 SIAYA,DISPENSARY,LEVEL 2,0,SIAYA,Active,
FLUORSPAR HEALTH CENTRE,GK-xxx,P.O BOX 332-30700 ITEN,BASIC HEALTH CENTRE,LEVEL 3B,6,ELGEYO/ MARAKWET,Active,
SEGUT DISPENSARY,GK-xxx,P.O BOX 220-30700 ITEN,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
CHEBULBAI DISPENSARY,GK-xxx,P.O BOX 579-30700 ITEN,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
EMIS DISPENSARY,GK-xxx,P.O BOX 47- KAPTARAKWA,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KIPSERO DISPENSARY,GK-xxx,P.O BOX 162- KAPCHEROS,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
SIMIT DISPENSARY,GK-xxx,P.O BOX 45- CHEPKORIO,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KAPKATA DISPENSARY,GK-xxx,P.O BOX 3-30705 CHEBIEMIT,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KWA KALULI DISPENSARY,GK-xxx,P.O BOX 49-90134 YOANI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KYAUME DISPENSARY,GK-xxx,P.O BOX 791-90131 TALA,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
KWA MWAURA DISPENSARY,GK-xxx,P.O BOX 646-90100 MACHAKOS,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
TOLILET DISPENSARY,GK-xxx,P.O BOX 18- CHEPTERWAI,DISPENSARY,LEVEL 2,0,NANDI,Active,
TAMBOIYO DISPENSARY,GK-xxx,P.O BOX 71- KABIYET,DISPENSARY,LEVEL 2,0,NANDI,Active,
OLDONYO LASHO DISPENSARY,GK-xxx,P.O BOX 28- LOITOKITOK,DISPENSARY,LEVEL 2,0,KAJIADO,Active,
KIAMBOGO DISPENSARY - NYERI,GK-xxx,P.O BOX 264-10104 MWEIGIA,DISPENSARY,LEVEL 2,0,NYERI,Active,
KITHUNGUTHIA DISPENSARY,GK-xxx,P.O BOX 96-60103 RUNYENJES,DISPENSARY,LEVEL 2,0,EMBU,Active,
UGINA HEALTH CENTRE,GK-xxx,P.O BOX 50-40305 MBITA,BASIC HEALTH CENTRE,LEVEL 3B,0,HOMA BAY,Active,
TEMO HEALTH CENTRE,GK-xxx,P.O BOX 313-40305 MBITA,BASIC HEALTH CENTRE,LEVEL 3B,4,HOMA BAY,Active,
NYAMBUNWA DISPENSARY,GK-xxx,P.O BOX 128- KENYENYA,DISPENSARY,LEVEL 2,0,KISII,Active,
KIANGO DISPENSARY,GK-xxx,P.O BOX 128- KENYENYA,DISPENSARY,LEVEL 2,0,KISII,Active,
KERONGORORI DISPENSARY,GK-xxx,P.O BOX 128- KENYENYA,DISPENSARY,LEVEL 2,0,KISII,Active,
IGORERA DISPENSARY,GK-xxx,P.O BOX 128- KENYENYA,DISPENSARY,LEVEL 2,0,KISII,Active,
KIMESWON DISPENSARY,GK-xxx,P.O BOX 112-20200 KERICHO,DISPENSARY,LEVEL 2,0,KISII,Active,
KIMUNGEN DISPENSARY,GK-xxx,P.O BOX 11-20200 KERICHO,DISPENSARY,LEVEL 2,0,KISII,Active,
KEBEN DISPENSARY-KERICHO,GK-xxx,P.O BOX 20-20200 KERICHO,DISPENSARY,LEVEL 2,0,KISII,Active,
KUNO DISPENSARY,GK-xxx,P.O BOX 256-70100 GARISSA,DISPENSARY,LEVEL 2,0,GARISSA,Active,
BLOCK DISPENSARY,GK-xxx,P.O BOX 256-70100 GARISSA,DISPENSARY,LEVEL 2,0,GARISSA,Active,
CHAMAKOWA HEALTH CENTRE,GK-xxx,P.O BOX 50- MBITA,HEALTH CENTRE,LEVEL 3A,0,HOMA BAY,Active,
KATHEKANI DISPENSARY,GK-xxx,P.O BOX 72-90137 KIBWEZI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KIGANE DISPENSARY,GK-xxx,P.O BOX 76-60206 KANYAKINE,DISPENSARY,LEVEL 2,0,MERU,Active,
GIIKA DISPENSARY,GK-xxx,P.O BOX 482-60600 MAUA,DISPENSARY,LEVEL 2,0,MERU,Active,
MWOROGA DISPENSARY,GK-xxx,P.O BOX 76-60206 KANYAKINE,DISPENSARY,LEVEL 2,0,MERU,Active,
GOMBE KOKULO DISPENSARY,GK-xxx,P.O BOX 59-40131 PAW AKUCHE,DISPENSARY,LEVEL 2,0,KISUMU,Active,
BAR KORUMBA DISPENSARY,GK-xxx,P.O BOX PRIVATE BAG- KISUMU,DISPENSARY,LEVEL 2,0,KISUMU,Active,
NDOLELI DISPENSARY,GK-xxx,P.O BOX 8-60200 MERU,DISPENSARY,LEVEL 2,0,MERU,Active,
ABOGETA WEST DISPENSARY,GK-xxx,P.O BOX 54-60211 KIONYO,DISPENSARY,LEVEL 2,0,MERU,Active,
NGOLO DISPENSARY,GK-xxx,P.O BOX 44-40301 KENDU BAY,DISPENSARY,LEVEL 2,0,HOMA BAY,Active,
NYAUNYAU DISPENSARY,GK-xxx,P.O BOX 39-30404 MARIGAT,DISPENSARY,LEVEL 2,0,BARINGO,Active,
PTIKII DISPENSARY,GK-xxx,P.O BOX 53-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
KABOGOR DISPENSARY,GK-xxx,P.O BOX 53-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
KIEMBE HEALTH CENTRE,GK-xxx,P.O BOX 87-40418 MAGUNGA,BASIC HEALTH CENTRE,LEVEL 3B,0,HOMA BAY,Active,
TUWIT DISPENSARY BARINGO,GK-xxx,P.O BOX 1-30404 NGINYANG,DISPENSARY,LEVEL 2,0,BARINGO,Active,
PAGA DISPENSARY,GK-xxx,P.O BOX 65- CHEMELIL,DISPENSARY,LEVEL 2,0,KISUMU,Active,
RACHAR HEALTH CENTRE,GK-xxx,P.O BOX 119-40300 HOMABAY,BASIC HEALTH CENTRE,LEVEL 3B,0,HOMA BAY,Active,
IMBO HEALTH CENTRE,GK-xxx,P.O BOX 264-40300 HOMABAY,BASIC HEALTH CENTRE,LEVEL 3B,0,HOMA BAY,Active,
KOKWA HIGHLAND DISPENSARY,GK-xxx,P.O BOX 16489-30403 MARIGAT,DISPENSARY,LEVEL 2,0,BARINGO,Active,
SOGON DISPENSARY,GK-xxx,P.O BOX 53-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
SANDAI DISPENSARY,GK-xxx,P.O BOX 53-30400 KABARNET,DISPENSARY,LEVEL 2,0,BARINGO,Active,
GICHERA DISPENSARY,GK-xxx,P.O BOX 193-60103 RUNYENJES,DISPENSARY,LEVEL 2,0,EMBU,Active,
KIANGUNGI DISPENSARY,GK-xxx,P.O BOX 103-60103 RUNYENJES,DISPENSARY,LEVEL 2,0,EMBU,Active,
OSURE DISPENSARY UKWALA,GK-xxx,P.O BOX 247-40607 UKWALA,DISPENSARY,LEVEL 2,0,SIAYA,Active,
GATHUINE DISPENSARY,GK-xxx,P.O BOX 2136-60200 MERU,DISPENSARY,LEVEL 2,0,MERU,Active,
KIOBONYO DISPENSARY,GK-xxx,P.O BOX 92-40200 KISII,DISPENSARY,LEVEL 2,0,KISII,Active,
